"GYR" [1.3942472098999796, -1.12240757856522, -0.590086684188454, 1.137793990655405, 1.2534452130292186, 0.03293090212130893]
"SCH" [-3.001663600660346, 8.702143970002, -7.8806067674410665, 3.385125294414713, 1.5305964806015648, 0.034878775698120125]
"DTPMS" [12.530107118024697, -26.847408893040186, 20.183768739591308, -5.794419971949592, 1.7668506595214202, 0.015505234217289658]
"LIN" [44.01407146839367, -98.63071778790298, 77.10071875158302, -24.27497720725536, 3.329080033279916, -0.002801837278608119]
"SPP" [42.938099817725515, -98.19765058281901, 78.4790707991264, -25.339833041328312, 3.75295354894428, -0.022689604558749656]
"SC" [ 4.64813021e+02, -6.60930786e+02,  3.55001866e+02, -9.13243143e+01, 1.58732090e+01,  1.57115237e-01]
"BCC" [ 2.63552882e+01, -6.33346014e+01,  5.83634281e+01, -2.56921469e+01, 7.96493366e+00,  1.39420310e-01]
"FCC" [ 2.19807454e+01, -5.29686365e+01,  4.94387351e+01, -2.21220299e+01, 7.07882023e+00,  1.30017579e-01]
"DIA" [ 3.11362395e+01, -7.21552419e+01,  6.42055253e+01, -2.71499270e+01, 8.13915283e+00,  1.37069665e-01]
"FLU" [ 2.27672911e+01, -5.17407749e+01,  4.53557250e+01, -1.89759968e+01, 5.68164279e+00,  1.02049052e-01]
"OCT" [ 3.82124107e+01, -8.77223356e+01,  7.36296579e+01, -2.76761977e+01, 6.31078019e+00,  6.80545608e-02]
"TC" [ 1.92559288e+02, -3.01949171e+02,  1.75755290e+02, -4.72740282e+01, 1.03073938e+01,  1.24648473e-01]
"TO" [ 1.52894979e+01, -3.73213909e+01,  3.63015739e+01, -1.66307187e+01, 5.63017257e+00, 1.10016935e-01]
"KEV" [ 2.57355680e+01, -6.02293181e+01,  5.46606156e+01, -2.34473532e+01, 7.26689929e+00,  1.27247801e-01]
"REE" [ 1.75330348e+01, -4.29494557e+01,  4.15718340e+01, -1.92861895e+01, 6.33501243e+00,  1.21957602e-01]
"WP" [ 3.38448623e+01, -7.77535932e+01,  6.57778477e+01, -2.49482105e+01, 5.77143329e+00, 6.27497820e-02]
"DDK2" [27.325230006996822, -61.382924383366195, 54.89539525152092, -23.400475433073385, 7.265852477107318, 0.12368625505070112]
"DDK3" [13.022315594807164, -30.71804705670944, 30.345898465482957, -14.549321673608121, 5.02365595444223, 0.09954083094268469]
"G7" [20.944808268002113, -50.49004861600028, 47.26000254088931, -21.251163596145577, 6.8635080725210385, 0.12464633033222375]
"HCG" [20.568914216802025, -44.89785203009827, 39.943930573185796, -17.42292558015085, 5.6086316000515835, 0.09576738446301652]
"OHE" [21.001707112749507, -50.60971318951777, 47.352371145198774, -21.281295613137747, 6.8676266033553155, 0.12487589956256205]
"POL1" [15.32287977434869, -37.57026044435248, 36.89790950494383, -17.514972729479485, 6.123728105525695, 0.11672719198091464]
"POL3" [57.39970342525408, -133.19683316560227, 110.64863048282957, -39.784044062669565, 7.587022851495741, 0.018315099532549922]
"PSM1" [63.20089022619072, -127.96973003817304, 99.22279103213754, -36.764582865561955, 9.586862205689355, 0.13877581416857143]
"PSM2" [23.15302681690357, -54.34659470056172, 48.30439999900718, -20.1332886939745, 5.783874303129384, 0.09237848321636974]
"PSM3" [37.93646635064915, -87.10843770602396, 73.07270753417376, -27.485927885324504, 6.272464675950879, 0.06169414457218186]
"RDO" [22.80485468390488, -51.77505816195137, 45.28028701186746, -18.910617281508667, 5.6631348043695136, 0.09535199282369562]
"TEG3" [23.96369820229103, -56.22432955615523, 49.92953722742631, -20.988555950731087, 6.070432626996055, 0.09699387352466651]
"VIG2" [19.68132199878373, -46.70957561170192, 43.31773448452834, -18.97172831319931, 6.228083098764237, 0.1106106620373093]
"RHO" [0.279370783214201, 3.5598399769609053, -4.302044090739476, 2.497997756744968, 2.1630883665464453, -0.0036655367911297885]
"TES2" [4.521865306911909, -6.390355516648213, 3.885987198494791, -0.7260767239342, 1.8610682800252545, -0.012706565313263626]
"TES3" [8.840963945961352, -16.891875060946074, 12.289122758622156, -3.5979389674708218, 2.0173738234784353, -0.026948231700730445]
"TES4" [6.843071169198989, -12.361485076346117, 8.695662450804337, -2.3785965064291035, 1.953436705623039, -0.020450574654043072]
"VIS2" [6.506219306978718, -11.610569956489007, 8.188885146256794, -2.441008657940022, 2.1133858010894033, -0.01865963737637046]
"BID" [97.94091621338242, -218.06318056814683, 170.82864798548115, -53.82644108532943, 7.989526910429551, -0.24761802183027418]
"CBN2" [-4.372259246555089, 6.003792351790874, -0.3798933015418909, -0.9719335486066208, 1.9298618707556665, -0.027406075719559084]
"CBV1" [9.456382916619406, -12.186770933672522, 6.26785851451279, -1.4715635183157667, 1.9190892946294784, -0.02128137606259817]
"GSS2" [73.17671447006366, -146.21851933848734, 105.22339127974463, -32.1054321930689, 5.3562349506181, -0.16046035868578554]
"GSS4" [-112.77242254622473, 232.21544999328273, -167.08363897003923, 51.60711641927214, -4.780045412370743, 0.20418245027916054]
"TRA" [-65.78638393472464, 123.17662457317546, -79.46769961588048, 22.799903426033016, -0.4920508543718099, 0.06641578307535351]
"VRS" [-8.192211781701648, 25.611414897005986, -24.267974699056047, 9.56521781942179, 0.3631755557058391, 0.02752539564212108]
